fichero,medidas
20250617_002,1
20250617_003,1
20250617_004,1
20250617_005,1
20250617_006,1
20250617_007,1
20250617_008,1
20250617_009,1
20250617_010,1
20250617_011,1
20250617_041,10
20250617_042,10
20250617_043,10
20250617_044,10
20250617_045,10
20250617_046,10
20250617_047,10
20250617_048,10
20250617_049,10
20250617_050,10
20250617_021,100
20250617_022,100
20250617_023,100
20250617_024,100
20250617_025,100
20250617_026,100
20250617_027,100
20250617_028,100
20250617_029,100
20250617_030,100
