Wave   ,Sample   ,Dark     ,Reference
245.685,  299.830,  330.600,  286.450
245.776,  285.830,  298.600,  267.450
245.868,  282.430,  308.600,  263.450
245.960,  270.930,  242.600,  252.450
246.052,  314.630,  291.600,  307.450
246.144,  296.230,  282.600,  285.450
246.236,  292.430,  296.600,  257.450
246.328,  307.430,  285.600,  287.450
246.420,  280.630,  282.600,  270.450
246.512,  322.630,  303.600,  295.450
246.604,  284.730,  280.600,  278.450
246.695,  274.030,  275.600,  268.450
246.787,  304.830,  288.600,  299.450
246.879,  300.630,  296.600,  275.450
246.971,  312.230,  305.600,  285.450
247.063,  268.230,  281.600,  253.450
247.155,  309.430,  295.600,  240.450
247.246,  289.530,  305.600,  285.450
247.338,  300.630,  297.600,  287.450
247.430,  301.030,  298.600,  312.450
247.522,  306.230,  294.600,  294.450
247.613,  301.630,  287.600,  278.450
247.705,  301.230,  302.600,  286.450
247.797,  311.630,  322.600,  301.450
247.889,  310.730,  294.600,  286.450
247.980,  321.130,  318.600,  273.450
248.072,  315.030,  315.600,  275.450
248.164,  346.230,  368.600,  297.450
248.256,  297.330,  280.600,  302.450
248.347,  310.430,  312.600,  275.450
248.439,  294.430,  302.600,  260.450
248.531,  308.430,  301.600,  297.450
248.622,  316.330,  315.600,  318.450
248.714,  291.430,  303.600,  257.450
248.806,  308.030,  301.600,  287.450
248.897,  295.330,  266.600,  290.450
248.989,  275.630,  260.600,  246.450
249.081,  292.230,  291.600,  305.450
249.172,  299.630,  289.600,  264.450
249.264,  280.330,  310.600,  303.450
249.356,  283.030,  274.600,  253.450
249.447,  300.830,  287.600,  283.450
249.539,  275.530,  289.600,  288.450
249.630,  299.230,  296.600,  286.450
249.722,  322.430,  310.600,  305.450
249.813,  286.830,  302.600,  256.450
249.905,  298.330,  319.600,  291.450
249.997,  282.930,  270.600,  248.450
250.088,  289.230,  295.600,  285.450
250.180,  287.330,  280.600,  288.450
250.271,  298.430,  296.600,  268.450
250.363,  325.430,  329.600,  307.450
250.454,  290.630,  268.600,  238.450
250.546,  300.130,  271.600,  272.450
250.637,  274.730,  285.600,  242.450
250.729,  279.830,  267.600,  250.450
250.820,  306.430,  306.600,  297.450
250.912,  275.030,  299.600,  243.450
251.003,  289.630,  285.600,  296.450
251.095,  304.630,  296.600,  273.450
251.186,  284.730,  269.600,  253.450
251.277,  291.530,  276.600,  290.450
251.369,  290.430,  295.600,  275.450
251.460,  289.030,  272.600,  272.450
251.552,  306.830,  293.600,  292.450
251.643,  298.830,  292.600,  276.450
251.735,  289.830,  303.600,  241.450
251.826,  299.730,  313.600,  259.450
251.917,  313.530,  325.600,  258.450
252.009,  324.730,  338.600,  254.450
252.100,  320.630,  343.600,  266.450
252.191,  350.430,  337.600,  260.450
252.283,  340.130,  328.600,  299.450
252.374,  362.030,  372.600,  289.450
252.465,  402.730,  390.600,  301.450
252.557,  404.130,  393.600,  251.450
252.648,  388.330,  378.600,  258.450
252.739,  421.030,  397.600,  267.450
252.831,  415.330,  439.600,  250.450
252.922,  452.730,  440.600,  266.450
253.013,  502.630,  520.600,  241.450
253.104,  556.830,  576.600,  255.450
253.196,  683.930,  712.600,  265.450
253.287,  830.330,  807.600,  289.450
253.378, 1215.030, 1233.600,  257.450
253.469, 4189.330, 4083.600,  246.450
253.561,22889.131,23239.600,  253.450
253.652,41757.031,42949.602,  272.450
253.743, 5699.230, 5893.600,  210.450
253.834,  617.730,  622.600,  260.450
253.926,  486.330,  531.600,  249.450
254.017,  476.530,  459.600,  280.450
254.108,  438.530,  528.600,  290.450
254.199,  427.930,  418.600,  277.450
254.290,  435.030,  380.600,  290.450
254.381,  413.430,  429.600,  276.450
254.472,  404.530,  437.600,  250.450
254.564,  411.030,  411.600,  327.450
254.655,  378.930,  392.600,  304.450
254.746,  342.930,  345.600,  225.450
254.837,  375.030,  372.600,  282.450
254.928,  350.430,  368.600,  247.450
255.019,  364.830,  375.600,  281.450
255.110,  360.930,  357.600,  302.450
255.201,  336.830,  318.600,  284.450
255.292,  378.330,  381.600,  271.450
255.383,  331.430,  347.600,  265.450
255.474,  326.430,  329.600,  248.450
255.566,  351.430,  366.600,  271.450
255.657,  337.630,  350.600,  306.450
255.748,  306.930,  292.600,  235.450
255.839,  312.630,  331.600,  282.450
255.930,  312.130,  292.600,  302.450
256.021,  329.130,  336.600,  297.450
256.112,  303.230,  296.600,  257.450
256.203,  326.430,  339.600,  315.450
256.294,  321.930,  321.600,  265.450
256.384,  307.330,  279.600,  261.450
256.475,  311.430,  289.600,  284.450
256.566,  293.830,  297.600,  274.450
256.657,  294.930,  291.600,  267.450
256.748,  292.030,  302.600,  280.450
256.839,  288.630,  281.600,  274.450
256.930,  299.730,  278.600,  260.450
257.021,  311.930,  328.600,  283.450
257.112,  312.730,  311.600,  327.450
257.203,  275.430,  268.600,  240.450
257.294,  257.930,  276.600,  257.450
257.385,  287.330,  284.600,  272.450
257.475,  282.230,  277.600,  255.450
257.566,  305.530,  313.600,  267.450
257.657,  286.830,  339.600,  264.450
257.748,  269.130,  283.600,  252.450
257.839,  290.830,  319.600,  306.450
257.930,  281.530,  276.600,  275.450
258.020,  276.830,  278.600,  281.450
258.111,  282.830,  285.600,  256.450
258.202,  304.330,  309.600,  258.450
258.293,  289.830,  267.600,  255.450
258.384,  306.530,  329.600,  295.450
258.474,  295.630,  296.600,  244.450
258.565,  271.930,  250.600,  252.450
