longitud_onda,intensidad
1949.86968994141,910.894422362231
1950.2864074707,755.442603434527
1950.70297241211,754.096652311674
1951.11953735352,834.180614787158
1951.53610229492,979.921156611829
1951.95266723633,761.906995133022
1952.36907958984,928.342937878596
1952.78533935547,823.888878029428
1953.20175170898,833.955154915722
1953.61785888672,1026.83372285202
1954.03411865234,855.905282855009
1954.45037841797,812.972370967685
1954.86633300781,794.516416766229
1955.28228759766,796.244512801904
1955.69808959961,693.028391108697
1956.11419677734,864.815021530253
1956.5299987793,914.432417139527
1956.94580078125,734.845117526039
1957.36145019531,956.91005285471
1957.77725219727,954.482502662112
1958.19290161133,755.896641004505
1958.6083984375,711.525735421017
1959.02404785156,962.103892568019
1959.43939208984,998.880859664815
1959.85473632813,949.932454113094
1960.26992797852,890.602911593154
1960.68542480469,780.062297538239
1961.10061645508,978.677787945416
1961.51580810547,964.924616722387
1961.93084716797,813.101110175981
1962.34603881836,1157.93731383786
1962.76092529297,887.363018015409
1963.17581176758,855.60523098816
1963.59069824219,840.116996910342
1964.0055847168,775.088421497613
1964.42031860352,929.85357835549
1964.83505249023,839.208656502323
1965.24978637695,984.239981288982
1965.66436767578,979.403562563607
1966.07879638672,1044.76280687391
1966.49337768555,1102.84104679883
1966.90780639648,979.254677616822
1967.32223510742,952.151158655678
1967.73635864258,835.775422284772
1968.15063476563,870.194774221709
1968.56475830078,944.271433905426
1968.97903442383,804.964503491547
1969.39315795898,1020.80616761117
1969.80712890625,1094.03691585096
1970.22109985352,1003.94318554075
1970.63507080078,807.936521467801
1971.04888916016,898.430314011123
1971.46270751953,867.884586699343
1971.87637329102,859.571576462433
1972.29019165039,926.852649253851
1972.70370483398,954.676993840257
1973.11737060547,905.886583577023
1973.53088378906,960.283018899691
1973.94439697266,982.357319368789
1974.35775756836,721.205556667869
1974.77096557617,991.852879564771
1975.18432617188,923.416246704844
1975.59753417969,1046.0305183075
1976.0107421875,984.819348986315
1976.42379760742,1018.56563661798
1976.83685302734,892.139525968806
1977.24990844727,1012.91044521163
1977.66296386719,970.237843324594
1978.07571411133,1053.57404791332
1978.48861694336,1387.19504760443
1978.90121459961,2228.91661902999
1979.31411743164,2254.04761249656
1979.72671508789,1227.58396414534
1980.13931274414,1161.71299314643
1980.5517578125,1074.70145032401
1980.96435546875,1105.00302120495
1981.376953125,995.280116001072
1981.78909301758,984.635140556597
1982.20153808594,1015.99273873677
1982.61367797852,1018.49387308145
1983.02597045898,971.543087634417
1983.43811035156,1131.75150816163
1983.85025024414,1195.12186892526
1984.26223754883,1200.19687746996
1984.67407226563,1166.57102089597
1985.08605957031,1150.6244085206
1985.49789428711,1150.46196553459
1985.90972900391,1285.18080486512
1986.32141113281,1292.64538910872
1986.73324584961,1400.67530451842
1987.14477539063,1765.47899356349
1987.55645751953,2049.6926991488
1987.96798706055,2308.25209962216
1988.37936401367,3417.55064652797
1988.7907409668,5961.54232720852
1989.20196533203,10796.013660365
1989.61334228516,16579.3065644147
1990.02471923828,11826.3881287061
1990.43579101563,5736.31999930964
1990.84671020508,3087.01954063472
1991.25778198242,2202.18827681551
1991.66900634766,2072.81804258083
1992.07992553711,1508.82254256268
1992.49069213867,1437.89900907803
1992.90145874023,1320.66960740923
1993.3122253418,1227.18887986038
1993.72283935547,1127.10532405201
1994.13375854492,1240.92336859595
1994.5442199707,1104.17885831395
1994.95483398438,1184.66090949505
1995.36514282227,1059.39323046792
1995.77575683594,1248.48427778737
1996.18606567383,1011.39448418469
1996.59622192383,1230.89919673836
1997.00668334961,961.259867767848
1997.41668701172,1077.32614655863
1997.82684326172,1257.07834299274
1998.23699951172,1165.26699756765
1998.64700317383,1635.85561562164
1999.05700683594,2630.95908357781
1999.46685791016,5563.23106576469
1999.87670898438,2531.03572860773
2000.28656005859,1277.8959152071
2000.69625854492,1106.17740223799
2001.10595703125,1083.30324697996
2001.51550292969,1064.52088949578
2001.92504882813,1195.66264420898
2002.33459472656,953.740332501134
2002.74398803711,1143.90682596183
2003.15338134766,901.377343115614
2003.56262207031,1199.15627160091
2003.97186279297,944.504143513702
2004.38125610352,1027.03700466628
2004.79034423828,984.123686535744
2005.19927978516,1036.64855300185
2005.60836791992,1054.05524233353
2006.0173034668,1071.27174626456
2006.42639160156,933.513589704121
2006.83517456055,1006.30181138768
2007.24411010742,1099.12253634607
2007.65274047852,1002.08125983047
2008.06137084961,1054.30469834377
2008.4700012207,1069.07325620919
2008.8786315918,1187.09087383997
2009.287109375,969.130845516091
2009.6955871582,994.759643559734
2010.10391235352,956.788288130206
2010.51223754883,1064.03873071052
2010.92056274414,954.444150904812
2011.32873535156,1141.60820783129
2011.73690795898,884.242041587399
2012.14492797852,1012.62092108454
2012.55310058594,956.533769855159
2012.96112060547,1044.86208914885
2013.369140625,1125.67284005716
2013.77700805664,1117.02488010861
2014.1845703125,1092.05549280015
2014.59243774414,919.836642999712
2015.00030517578,1154.91171879607
2015.40771484375,1280.28258431665
2015.8154296875,1160.07090902146
2016.22299194336,1138.54810475236
2016.63055419922,1337.29568649945
2017.03796386719,1046.20446367076
2017.44522094727,1059.34095084943
2017.85232543945,1124.85714723221
2018.25973510742,1052.8124581702
