Wave   ,Sample   ,Dark     ,Reference
553.952,  233.365,  277.385,  216.982
554.081,  218.565,  258.485,  208.283
554.209,  207.365,  265.885,  209.982
554.337,  219.365,  264.785,  209.883
554.466,  224.365,  267.785,  219.682
554.594,  218.165,  270.285,  219.883
554.722,  188.765,  242.285,  179.783
554.851,  188.565,  234.385,  177.783
554.979,  205.765,  255.085,  206.083
555.107,  232.565,  272.585,  225.182
555.235,  218.665,  274.185,  224.482
555.364,  212.565,  269.185,  222.283
555.492,  214.865,  264.885,  220.283
555.620,  205.965,  254.485,  200.682
555.748,  211.165,  260.085,  208.283
555.876,  200.065,  252.285,  200.283
556.004,  205.165,  250.585,  203.682
556.133,  218.965,  267.585,  211.083
556.261,  209.865,  258.585,  218.182
556.389,  207.165,  256.785,  209.982
556.517,  218.365,  264.385,  221.982
556.645,  177.265,  222.085,  181.283
556.773,  202.165,  250.685,  205.583
556.901,  233.565,  270.585,  219.482
557.029,  228.665,  259.185,  224.583
557.157,  178.465,  231.785,  186.283
557.285,  213.065,  241.685,  202.182
557.413,  180.465,  217.585,  175.482
557.541,  214.265,  257.285,  205.482
557.669,  211.265,  246.585,  199.682
557.797,  229.665,  279.185,  228.583
557.925,  211.065,  261.885,  209.182
558.052,  201.565,  259.185,  209.682
558.180,  210.665,  252.085,  207.982
558.308,  187.165,  246.485,  196.682
558.436,  179.765,  218.285,  170.783
558.564,  205.865,  256.085,  211.383
558.692,  205.265,  251.785,  200.982
558.819,  191.065,  239.685,  199.982
558.947,  157.665,  210.285,  155.583
559.075,  208.265,  258.285,  201.083
559.203,  220.265,  263.185,  211.682
559.330,  201.865,  250.385,  201.883
559.458,  195.265,  241.885,  198.482
559.586,  179.265,  221.885,  171.383
559.714,  210.665,  247.585,  207.883
559.841,  177.665,  227.285,  178.083
559.969,  188.565,  239.085,  194.083
560.096,  203.965,  265.085,  201.283
560.224,  195.265,  231.785,  186.283
560.352,  207.865,  249.285,  192.383
560.479,  202.665,  247.085,  196.482
560.607,  198.265,  246.985,  195.682
560.734,  203.865,  255.585,  187.083
560.862,  222.365,  252.785,  211.182
560.989,  174.665,  211.885,  164.182
561.117,  213.165,  258.185,  206.482
561.244,  202.665,  244.685,  194.083
561.372,  193.065,  238.985,  198.383
561.499,  214.365,  273.485,  214.283
561.627,  211.965,  252.185,  206.583
561.754,  217.065,  271.185,  203.982
561.882,  209.465,  245.485,  202.083
562.009,  186.465,  236.685,  187.682
