Wave   ,Sample   ,Dark     ,Reference
230.218,  287.543,  290.315,  293.845
230.311,  326.142,  319.885,  318.565
230.404,  304.943,  309.855,  312.875
230.497,  325.742,  317.385,  315.715
230.591,  330.742,  333.426,  335.355
230.684,  323.443,  326.486,  329.355
230.777,  328.043,  311.736,  314.765
230.870,  308.443,  313.326,  316.955
230.964,  319.242,  310.885,  314.745
231.057,  339.842,  342.496,  343.475
231.150,  331.443,  331.695,  332.715
231.243,  323.642,  330.635,  332.775
231.336,  329.342,  331.375,  331.335
231.430,  327.642,  316.496,  317.715
231.523,  323.043,  324.516,  326.785
231.616,  307.943,  305.445,  309.685
231.709,  339.943,  328.065,  330.025
231.802,  310.242,  300.945,  301.885
231.895,  317.642,  299.836,  300.315
231.988,  329.642,  315.655,  318.535
232.082,  310.043,  298.155,  302.425
232.175,  313.242,  302.155,  306.175
232.268,  306.443,  301.266,  305.345
232.361,  316.342,  304.806,  307.515
232.454,  326.543,  322.396,  323.025
232.547,  322.142,  318.716,  322.655
232.640,  315.342,  296.766,  294.035
232.733,  327.842,  314.116,  323.045
232.826,  310.043,  288.915,  295.035
232.919,  326.443,  313.826,  312.665
233.012,  310.142,  293.646,  292.775
233.105,  314.742,  294.766,  298.815
233.199,  318.342,  299.875,  304.045
233.292,  308.342,  293.475,  296.235
233.385,  277.842,  263.426,  262.225
233.478,  310.742,  293.885,  295.685
233.571,  336.742,  324.586,  327.675
233.664,  323.543,  305.996,  308.435
233.757,  295.043,  280.796,  281.395
233.850,  291.943,  282.255,  285.825
233.943,  302.842,  290.896,  292.195
234.035,  312.443,  300.576,  302.355
234.128,  293.543,  281.836,  283.945
234.221,  308.142,  297.665,  298.245
234.314,  325.142,  304.915,  311.975
234.407,  332.642,  302.935,  309.075
234.500,  302.242,  277.625,  281.875
234.593,  303.242,  287.095,  285.735
234.686,  306.142,  293.746,  293.765
234.779,  307.842,  291.266,  293.165
234.872,  295.242,  281.806,  281.565
234.965,  310.043,  292.806,  290.795
235.058,  294.642,  274.155,  276.215
235.150,  303.043,  285.776,  290.805
235.243,  301.842,  282.736,  284.425
235.336,  313.543,  300.695,  304.545
235.429,  289.642,  273.646,  272.515
235.522,  337.943,  330.996,  335.445
235.615,  281.342,  262.276,  265.145
235.707,  288.642,  282.415,  282.335
235.800,  306.043,  289.815,  290.515
235.893,  308.742,  289.956,  292.955
235.986,  308.642,  298.266,  299.325
236.079,  299.943,  286.586,  291.125
236.171,  286.543,  270.725,  271.865
236.264,  320.043,  312.635,  313.275
236.357,  310.242,  290.986,  293.865
236.450,  321.642,  315.225,  317.215
236.542,  287.642,  267.065,  272.575
236.635,  332.443,  313.546,  316.385
236.728,  303.842,  285.516,  288.115
236.821,  298.342,  280.165,  283.715
236.913,  287.742,  277.896,  276.315
237.006,  292.443,  271.605,  275.435
237.099,  302.543,  283.896,  285.575
237.191,  317.543,  298.796,  300.225
237.284,  284.943,  267.896,  272.995
237.377,  317.443,  294.725,  297.495
237.470,  301.742,  285.415,  287.875
237.562,  292.842,  276.866,  275.785
237.655,  337.943,  320.945,  324.565
237.747,  303.142,  292.695,  295.845
237.840,  334.642,  313.086,  314.435
237.933,  309.342,  300.445,  301.555
238.025,  313.543,  301.415,  301.595
238.118,  298.242,  282.456,  287.755
238.211,  288.342,  268.155,  272.375
238.303,  284.943,  272.296,  273.415
238.396,  290.242,  268.065,  271.945
238.488,  309.043,  292.625,  291.075
238.581,  307.742,  287.855,  289.445
238.673,  298.142,  285.766,  286.865
238.766,  287.742,  282.635,  283.185
238.859,  277.842,  273.586,  276.105
238.951,  291.043,  281.095,  282.835
239.044,  293.342,  276.496,  279.525
239.136,  285.943,  269.035,  271.705
239.229,  293.342,  280.665,  283.435
239.321,  288.642,  271.255,  276.105
239.414,  311.443,  289.875,  292.345
239.506,  298.943,  284.625,  290.655
